"Scenario","ART Use Reduction (\%)","PrEP Use Reduction (\%)","Mean HIV Incidence per 100 p.y. [95\% CrI]","Absolute Increase per 100 p.y. [95\% CrI]","Incidence Risk Ratio [95\% CrI]"
"Baseline (no cuts)","0.0","0.0","4.19 [3.16, 5.06]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
"10% ART cut only","10.0","0.0","5.28 [4.10, 6.18]","1.08 [0.75, 1.44]","1.26 [1.18, 1.34]"
"25% ART cut only","25.0","0.0","6.98 [5.56, 8.05]","2.78 [2.27, 3.31]","1.67 [1.54, 1.82]"
"40% ART cut only","40.0","0.0","8.58 [7.11, 9.68]","4.38 [3.82, 5.05]","2.06 [1.86, 2.28]"
"10% PrEP cut only","0.0","10.0","4.46 [3.34, 5.36]","0.26 [-0.02, 0.57]","1.06 [0.99, 1.14]"
"25% PrEP cut only","0.0","25.0","4.86 [3.63, 5.86]","0.66 [0.17, 1.21]","1.16 [1.04, 1.31]"
"40% PrEP cut only","0.0","40.0","5.26 [3.89, 6.51]","1.06 [0.33, 1.90]","1.25 [1.08, 1.48]"
"40% cut for both","40.0","40.0","10.12 [8.46, 11.65]","5.92 [4.88, 7.18]","2.43 [2.13, 2.78]"
"10% ART cut only","7.5","0.0","5.00 [3.85, 5.89]","0.80 [0.52, 1.11]","1.19 [1.13, 1.26]"
"25% ART cut only","18.9","0.0","6.29 [4.96, 7.29]","2.09 [1.65, 2.55]","1.50 [1.39, 1.63]"
"40% ART cut only","30.2","0.0","7.54 [6.08, 8.66]","3.35 [2.81, 3.92]","1.81 [1.65, 1.98]"
"10% PrEP cut only","0.0","2.2","4.25 [3.19, 5.12]","0.05 [-0.05, 0.16]","1.01 [0.99, 1.04]"
"25% PrEP cut only","0.0","5.5","4.34 [3.26, 5.23]","0.14 [-0.07, 0.36]","1.03 [0.98, 1.09]"
"40% PrEP cut only","0.0","8.8","4.43 [3.32, 5.33]","0.23 [-0.03, 0.52]","1.06 [0.99, 1.13]"
"40% cut for both","30.2","8.8","7.87 [6.38, 9.02]","3.67 [3.10, 4.37]","1.88 [1.72, 2.09]"
