"scenario","year","mean","lo95","hi95","lo50","hi50"
"10% reduction",0,1,1,1,1,1
"10% reduction",1,1.07389028555626,1.02583308850119,1.11554141987205,1.0634711652262,1.08509344296471
"10% reduction",2,1.12334758604601,1.07514591727577,1.17028714305353,1.10847274452213,1.13842159002091
"10% reduction",3,1.13937503385585,1.0924953386773,1.1982497369828,1.12349280921392,1.15229922587967
"10% reduction",4,1.15458549342664,1.09997457045453,1.21301027875104,1.13546897266942,1.17168268804777
"10% reduction",5,1.1672818679293,1.11153585728328,1.21969325644964,1.15016192138406,1.18441948215515
"10% reduction",6,1.18142682000353,1.12070946862552,1.23622576539344,1.16277185599861,1.2002003873428
"10% reduction",7,1.18947627086319,1.13226801819085,1.24072726536073,1.16928227585242,1.20838676115598
"10% reduction",8,1.19956388175644,1.14060613785475,1.25583667356883,1.18225098959807,1.21762408002462
"10% reduction",9,1.20743650580115,1.1361703261106,1.28249602636611,1.18477010065418,1.22890650247889
"10% reduction",10,1.20558133325111,1.13926936513171,1.28342267341562,1.18173717412412,1.22682718269491
"20% reduction",0,1,1,1,1,1
"20% reduction",1,1.15932482129403,1.10508526554835,1.21527181953994,1.14259647577137,1.17405815160654
"20% reduction",2,1.26381260433938,1.20011694173964,1.33427738761337,1.24118244374795,1.28615634627566
"20% reduction",3,1.29441406632718,1.22126496523076,1.37487108636457,1.269318870124,1.3139974596457
"20% reduction",4,1.32688966634451,1.2523055741671,1.40556565667527,1.29719254943265,1.35194231215268
"20% reduction",5,1.35435523802692,1.27792133115754,1.42835483801733,1.32892156172045,1.38023775967131
"20% reduction",6,1.3856436033217,1.29943147147762,1.467055410736,1.35557628152778,1.41414720249759
"20% reduction",7,1.40142553576868,1.3142518849497,1.47538054111147,1.37153959555367,1.43059230242335
"20% reduction",8,1.41655745006215,1.32672411050758,1.50834441749232,1.38385172289306,1.44515183060444
"20% reduction",9,1.43231463584258,1.33113348283752,1.5472474129565,1.39521012008475,1.46627109268747
"20% reduction",10,1.42779776862066,1.32202872289181,1.55996691361611,1.38791438931016,1.45996963057904
"40% reduction",0,1,0.999999999999999,1,1,1
"40% reduction",1,1.32543137993937,1.24472975960211,1.4003678794093,1.30174778951115,1.34584336035392
"40% reduction",2,1.53722894989777,1.4567225773284,1.63366341036658,1.50681405544296,1.56562174013171
"40% reduction",3,1.60012109302159,1.49613619873193,1.70190070695731,1.56159942420306,1.63877393559028
"40% reduction",4,1.67123674886842,1.56911000365897,1.81709713384938,1.62886185564638,1.70555153593828
"40% reduction",5,1.73188093801803,1.61417374245522,1.88662344582657,1.68856511474266,1.76817492996303
"40% reduction",6,1.79482088322874,1.65649687276615,1.9737682801808,1.74440098491422,1.83712834014469
"40% reduction",7,1.82886293481095,1.68916688896589,1.9928523646507,1.77638170574161,1.87657401508876
"40% reduction",8,1.85131553794119,1.71508285127993,2.07341433211377,1.78947777331059,1.89971829545985
"40% reduction",9,1.88324565788336,1.71761283406941,2.08603721374418,1.82029459692174,1.93299879935237
"40% reduction",10,1.8738099378358,1.69638508465419,2.10945425888844,1.80407883769121,1.92967670258513
